,MMDA,Year,Expenditure, ShareGDP ,GDP,Code,Sector,Area,Coastline,Government,Rank
1,Education,2016," 3,768,800,654.00 ", 0.06591 ," 57,178,679,900 ",AF,Social,652230,0,Ghana, 6.59 
2,Education,2017," 4,522,560,784.80 ", 0.07754 ," 58,322,253,498 ",AF,Social,652230,0,Ghana, 7.75 
3,Education,2018," 5,427,072,941.76 ", 0.09123 ," 59,488,698,568 ",AF,Social,652230,0,Ghana, 9.12 
4,Education,2019," 6,512,487,530.11 ", 0.10733 ," 60,678,472,539 ",AF,Social,652230,0,Ghana, 10.73 
5,Education,2020," 7,814,985,036.13 ", 0.12627 ," 61,892,041,990 ",AF,Social,652230,0,Ghana, 12.63 
6,Education,2021," 9,377,982,043.36 ", 0.14855 ," 63,129,882,830 ",AF,Social,652230,0,Ghana, 14.86 
7,Education,2022," 11,253,578,452.03 ", 0.17477 ," 64,392,480,487 ",AF,Social,652230,0,Ghana, 17.48 
8,Education,2023," 13,504,294,142.44 ", 0.20561 ," 65,680,330,096 ",AF,Social,652230,0,Ghana, 20.56 
9,Health,2016," 16,205,152,970.93 ", 0.24189 ," 66,993,936,698 ",AF,Social,652230,0,Ghana, 24.19 
10,Health,2017," 19,446,183,565.11 ", 0.28458 ," 68,333,815,432 ",AF,Social,652230,0,Ghana, 28.46 
11,Health,2018," 23,335,420,278.14 ", 0.33480 ," 69,700,491,741 ",AF,Social,652230,0,Ghana, 33.48 
12,Health,2019," 28,002,504,333.76 ", 0.39388 ," 71,094,501,576 ",AF,Social,652230,0,Ghana, 39.39 
13,Health,2020," 33,603,005,200.52 ", 0.46338 ," 72,516,391,607 ",AF,Social,652230,0,Ghana, 46.34 
14,Health,2021," 40,323,606,240.62 ", 0.54516 ," 73,966,719,439 ",AF,Social,652230,0,Ghana, 54.52 
15,Health,2022," 48,388,327,488.74 ", 0.64136 ," 75,446,053,828 ",AF,Social,652230,0,Ghana, 64.14 
16,Health,2023," 58,065,992,986.49 ", 0.75455 ," 76,954,974,905 ",AF,Social,652230,0,Ghana, 75.45 
17,"Gender, Children and Social Protection",2016," 69,679,191,583.79 ", 0.88770 ," 78,494,074,403 ",AF,Social,652230,0,Ghana, 88.77 
18,"Gender, Children and Social Protection",2017," 83,615,029,900.55 ", 1.04435 ," 80,063,955,891 ",AF,Social,652230,0,Ghana, 104.44 
